family,genus,specificEpithet,species_INAT
Acanthodrilidae,Diplocardia,farrishi,Diplocardia farrishi
Acanthodrilidae,Diplotrema,paraeintestinalis,Diplotrema paraeintestinalis
Acanthodrilidae,Diplotrema,planumfluvialis,Diplotrema planumfluvialis
Acanthodrilidae,Diplotrema,queenslandica,Diplotrema queenslandica
Almidae,Glyphidrilus,panhai,Glyphidrilus panhai
Almidae,Glyphidrilus,samueljamesi,Glyphidrilus samueljamesi
Hormogastridae,Boucheona,corbierensis,Boucheona corbierensis
Lumbricidae,Allolobophora,icterica,Allolobophora icterica
Lumbricidae,Aporrectodea,nocturna,Aporrectodea nocturna
Lumbricidae,Aporrectodea,ripicola,Aporrectodea ripicola
Lumbricidae,Dendrobaena,madeirensis,Dendrobaena madeirensis
Lumbricidae,Eisenia,ebneri,Eisenia ebneri
Lumbricidae,Lumbricus,friendoides,Lumbricus friendoides
Lumbricidae,Octodriloides,daminali,Octodriloides daminali
Lumbricidae,Octodriloides,mimus,Octodriloides mimus
Lumbricidae,Panoniona,leoni,Panoniona leoni
Lumbricidae,Perelia,diplotetratheca,Perelia diplotetratheca
Lumbricidae,Postandrilus,bertae,Postandrilus bertae
Lumbricidae,Prosellodrilus,aragonicus,Prosellodrilus aragonicus
Lumbricidae,Rhiphaeodrilus,diplotetratheca,Rhiphaeodrilus diplotetratheca
Lumbricidae,Scherotheca,jacana,Scherotheca jacana
Lumbricidae,Scherotheca,trezencensis,Scherotheca trezencensis
Megascolecidae,Amynthas,dammermani,Amynthas dammermani
Megascolecidae,Amynthas,lalashan,Amynthas lalashan
Megascolecidae,Fletcherodrilus,fasciatus,Fletcherodrilus fasciatus
Megascolecidae,Megascolex,konkanenis,Megascolex konkanenis
Megascolecidae,Megascolex,stirlingi,Megascolex stirlingi
Megascolecidae,Metaphire,hilgendorfi,Metaphire hilgendorfi
Megascolecidae,Metaphire,schmardae,Metaphire schmardae
Megascolecidae,Metaphire,sieboldi,Metaphire sieboldi
Megascolecidae,Pontodrilus,bermudensis,Pontodrilus bermudensis
Octochaetidae,Octochaetus,microchaetus,Octochaetus microchaetus
Octochaetidae,Trigaster,longissima,Trigaster longissima
Rhinodrilidae,Andiodrilus,barbacoa,Andiodrilus barbacoa
Rhinodrilidae,Martiodrilus,flavus,Martiodrilus flavus
Rhinodrilidae,Martiodrilus,tchoukouchipan,Martiodrilus tchoukouchipan
