family,genus,specificEpithet,species_INAT
Acanthodrilidae,Diplocardia,farrishi,Diplocardia farrishi
Acanthodrilidae,Diplocardia,indica,Diplocardia indica
Acanthodrilidae,Diplocardia,koebeli,Diplocardia koebeli
Acanthodrilidae,Diplocardia,varivesiculata,Diplocardia varivesiculata
Acanthodrilidae,Diplotrema,paraeintestinalis,Diplotrema paraeintestinalis
Acanthodrilidae,Diplotrema,planumfluvialis,Diplotrema planumfluvialis
Acanthodrilidae,Diplotrema,queenslandica,Diplotrema queenslandica
Almidae,Glyphidrilus,panhai,Glyphidrilus panhai
Almidae,Glyphidrilus,samueljamesi,Glyphidrilus samueljamesi
Hormogastridae,Boucheona,corbierensis,Boucheona corbierensis
Hormogastridae,Vignysa,callasensis,Vignysa callasensis
Kazimierzidae,Kazimierzus,ljungstroemi,Kazimierzus ljungstroemi
Lumbricidae,Allolobophora,icterica,Allolobophora icterica
Lumbricidae,Aporrectodea,nocturna,Aporrectodea nocturna
Lumbricidae,Aporrectodea,ripicola,Aporrectodea ripicola
Lumbricidae,Dendrobaena,cognettii,Dendrobaena cognettii
Lumbricidae,Dendrobaena,madeirensis,Dendrobaena madeirensis
Lumbricidae,Dendrobaena,mariupoliensis,Dendrobaena mariupoliensis
Lumbricidae,Eisenia,ebneri,Eisenia ebneri
Lumbricidae,Flabellodrilus,bartolii,Flabellodrilus bartolii
Lumbricidae,Flabellodrilus,luberonensis,Flabellodrilus luberonensis
Lumbricidae,Lumbricus,friendoides,Lumbricus friendoides
Lumbricidae,Octodriloides,daminali,Octodriloides daminali
Lumbricidae,Octodriloides,mimus,Octodriloides mimus
Lumbricidae,Panoniona,leoni,Panoniona leoni
Lumbricidae,Perelia,diplotetratheca,Perelia diplotetratheca
Lumbricidae,Postandrilus,bertae,Postandrilus bertae
Lumbricidae,Prosellodrilus,aragonicus,Prosellodrilus aragonicus
Lumbricidae,Prosellodrilus,praticola,Prosellodrilus praticola
Lumbricidae,Rhiphaeodrilus,diplotetratheca,Rhiphaeodrilus diplotetratheca
Lumbricidae,Scherotheca,jacana,Scherotheca jacana
Lumbricidae,Scherotheca,trezencensis,Scherotheca trezencensis
Megascolecidae,Amynthas,dammermani,Amynthas dammermani
Megascolecidae,Amynthas,lalashan,Amynthas lalashan
Megascolecidae,Aridulodrilus,molesworthae,Aridulodrilus molesworthae
Megascolecidae,Cryptodrilus,grandis,Cryptodrilus grandis
Megascolecidae,Fletcherodrilus,fasciatus,Fletcherodrilus fasciatus
Megascolecidae,Megascolex,konkanenis,Megascolex konkanenis
Megascolecidae,Megascolex,novaezealandiae,Megascolex novaezealandiae
Megascolecidae,Megascolex,stirlingi,Megascolex stirlingi
Megascolecidae,Megascolides,orthostichon,Megascolides orthostichon
Megascolecidae,Metaphire,hilgendorfi,Metaphire hilgendorfi
Megascolecidae,Metaphire,schmardae,Metaphire schmardae
Megascolecidae,Metaphire,sieboldi,Metaphire sieboldi
Megascolecidae,Pheretima,praepinguis,Pheretima praepinguis
Megascolecidae,Pontodrilus,bermudensis,Pontodrilus bermudensis
Megascolecidae,Spenceriella,gigantea,Spenceriella gigantea
Microchaetidae,Geogenia,ambita,Geogenia ambita
Microchaetidae,Geogenia,caementerii,Geogenia caementerii
Microchaetidae,Geogenia,distasmosa,Geogenia distasmosa
Microchaetidae,Geogenia,gripha,Geogenia gripha
Microchaetidae,Geogenia,herberti,Geogenia herberti
Microchaetidae,Geogenia,idechorita,Geogenia idechorita
Microchaetidae,Geogenia,madida,Geogenia madida
Microchaetidae,Geogenia,montana,Geogenia montana
Microchaetidae,Geogenia,pentheri,Geogenia pentheri
Microchaetidae,Geogenia,pondoana,Geogenia pondoana
Microchaetidae,Geogenia,ritae,Geogenia ritae
Microchaetidae,Geogenia,tegwana,Geogenia tegwana
Microchaetidae,Geogenia,tuberosa,Geogenia tuberosa
Microchaetidae,Geogenia,zaloumisi,Geogenia zaloumisi
Microchaetidae,Proandricus,adriani,Proandricus adriani
Octochaetidae,Octochaetus,levis,Octochaetus levis
Octochaetidae,Octochaetus,microchaetus,Octochaetus microchaetus
Octochaetidae,Trigaster,longissima,Trigaster longissima
Rhinodrilidae,Andiodrilus,argous,Andiodrilus argous
Rhinodrilidae,Andiodrilus,barbacoa,Andiodrilus barbacoa
Rhinodrilidae,Andiorrhinus,venezuelanus,Andiorrhinus venezuelanus
Rhinodrilidae,Martiodrilus,flavus,Martiodrilus flavus
Rhinodrilidae,Martiodrilus,tchoukouchipan,Martiodrilus tchoukouchipan
Tritogeniidae,Tritogenia,debbieae,Tritogenia debbieae
Tritogeniidae,Tritogenia,melmothana,Tritogenia melmothana
